基准测试,运行1时间(s)
q01.benchmark,8.657719
q02.benchmark,7.70587
q03.benchmark,8.418271
q04.benchmark,8.8138
q05.benchmark,9.754054
q06.benchmark,12.316148
q07.benchmark,7.644759
q08.benchmark,7.887868
q09.benchmark,13.204128
q10.benchmark,14.085691
q11.benchmark,9.818135
q12.benchmark,10.296963
q13.benchmark,12.811088
q14.benchmark,14.232562
q15.benchmark,12.929595
q16.benchmark,10.050905
q17.benchmark,15.193953
q18.benchmark,15.566835
q19.benchmark,24.152288
q20.benchmark,31.869508
q21.benchmark,13.534349
q22.benchmark,13.838152
q23.benchmark,17.155116
q24.benchmark,116.922025
q25.benchmark,17.160522
q26.benchmark,9.491498
q27.benchmark,9.41551
q28.benchmark,11.445051
q29.benchmark,137.49975
q30.benchmark,9.91012
q31.benchmark,12.98745
q32.benchmark,13.786434
q33.benchmark,44.239044
q34.benchmark,38.880274
q35.benchmark,34.800796
q36.benchmark,12.805081
q37.benchmark,14.119722
q38.benchmark,12.66686
q39.benchmark,14.031654
q40.benchmark,15.573581
q41.benchmark,11.976214
q42.benchmark,8.082963
q43.benchmark,9.839117
